ID,name,description,topic_ID
660e8400-e29b-41d4-a716-000000000001,Integrated Toolchain (generic),Übergreifendes Thema Integrated Toolchain für SAP Austria,550e8400-e29b-41d4-a716-446655440006
660e8400-e29b-41d4-a716-000000000002,Signavio,SAP Signavio Process Intelligence & Process Manager,550e8400-e29b-41d4-a716-446655440006
660e8400-e29b-41d4-a716-000000000003,LeanIX,LeanIX Enterprise Architecture Management,550e8400-e29b-41d4-a716-446655440006
660e8400-e29b-41d4-a716-000000000004,WalkMe,WalkMe Digital Adoption Platform,550e8400-e29b-41d4-a716-446655440006
660e8400-e29b-41d4-a716-000000000005,CALM for Implementation,SAP Cloud ALM for Implementation & Project Management,550e8400-e29b-41d4-a716-446655440006
660e8400-e29b-41d4-a716-000000000006,CALM for Operations,SAP Cloud ALM for Operations & Monitoring,550e8400-e29b-41d4-a716-446655440006
660e8400-e29b-41d4-a716-000000000007,Tricentis,Tricentis Test Automation & Continuous Testing,550e8400-e29b-41d4-a716-446655440006
660e8400-e29b-41d4-a716-000000000008,SAP BTP (generic),SAP Business Technology Platform — übergreifend,550e8400-e29b-41d4-a716-446655440003
660e8400-e29b-41d4-a716-000000000009,Integration Suite,SAP Integration Suite — API Management & Event Mesh,550e8400-e29b-41d4-a716-446655440003
660e8400-e29b-41d4-a716-000000000010,SAP Build,SAP Build Low-Code/No-Code Platform,550e8400-e29b-41d4-a716-446655440003
660e8400-e29b-41d4-a716-000000000011,Build Work Zone,SAP Build Work Zone — Digital Workplace,550e8400-e29b-41d4-a716-446655440003
660e8400-e29b-41d4-a716-000000000012,ABAP RESTful / RAP,ABAP RESTful Application Programming Model,550e8400-e29b-41d4-a716-446655440003
660e8400-e29b-41d4-a716-000000000013,CAP / SAP Build Code,SAP Cloud Application Programming Model & Build Code,550e8400-e29b-41d4-a716-446655440003
660e8400-e29b-41d4-a716-000000000014,Joule (generic),SAP Joule AI Copilot — übergreifend,550e8400-e29b-41d4-a716-446655440001
660e8400-e29b-41d4-a716-000000000015,Joule für Business,SAP Joule für Business User — Self-Service Analytics,550e8400-e29b-41d4-a716-446655440001
660e8400-e29b-41d4-a716-000000000016,Joule für Consultants,SAP Joule für Consultants — Assisted Implementation,550e8400-e29b-41d4-a716-446655440001
660e8400-e29b-41d4-a716-000000000017,Joule für Developer,SAP Joule für Developer — AI-Assisted Coding,550e8400-e29b-41d4-a716-446655440001
660e8400-e29b-41d4-a716-000000000018,SAP Business AI,SAP Business AI Portfolio — Embedded AI in S/4HANA & BTP,550e8400-e29b-41d4-a716-446655440001
660e8400-e29b-41d4-a716-000000000019,GenAI / AI Core,SAP AI Core & Custom AI — LLM Integration & AI Launchpad,550e8400-e29b-41d4-a716-446655440001
660e8400-e29b-41d4-a716-000000000020,Cloud ERP (generic),S/4HANA Cloud ERP — übergreifend,550e8400-e29b-41d4-a716-446655440004
660e8400-e29b-41d4-a716-000000000021,Cloud ERP: Finance (FI),S/4HANA Finance — FI GL AP AR AA,550e8400-e29b-41d4-a716-446655440004
660e8400-e29b-41d4-a716-000000000022,Cloud ERP: Controlling (CO),S/4HANA Controlling — CO-PA Profit Center Cost Center,550e8400-e29b-41d4-a716-446655440004
660e8400-e29b-41d4-a716-000000000023,Cloud ERP: Procurement (MM),S/4HANA Procurement — MM Purchasing & Invoice,550e8400-e29b-41d4-a716-446655440004
660e8400-e29b-41d4-a716-000000000024,Cloud ERP: Sales (SD),S/4HANA Sales — SD Order-to-Cash,550e8400-e29b-41d4-a716-446655440004
660e8400-e29b-41d4-a716-000000000025,Cloud ERP: Manufacturing (PP),S/4HANA Manufacturing — PP Production Planning,550e8400-e29b-41d4-a716-446655440004
660e8400-e29b-41d4-a716-000000000026,Cloud ERP: Plant Maintenance (PM),S/4HANA Plant Maintenance & Service,550e8400-e29b-41d4-a716-446655440004
660e8400-e29b-41d4-a716-000000000027,Cloud ERP: Supply Chain (SCM),S/4HANA Supply Chain — EWM TM IBP,550e8400-e29b-41d4-a716-446655440004
660e8400-e29b-41d4-a716-000000000028,RISE (generic),RISE with SAP — Cloud Migration Package,550e8400-e29b-41d4-a716-446655440007
660e8400-e29b-41d4-a716-000000000029,Lift & Shift,Lift & Shift Migrations — IaaS Move & System Copy,550e8400-e29b-41d4-a716-446655440007
660e8400-e29b-41d4-a716-000000000030,Conversions,S/4HANA System Conversions — Brownfield Transition,550e8400-e29b-41d4-a716-446655440007
